,corr_spearman
target_318,0.9999999999999998
JPX_Gold_Rolling-Spot_Futures_Close_mom5,-0.07411413163371942
JPX_Platinum_Mini_Futures_Close_vol10,0.07238755544248139
JPX_Gold_Standard_Futures_Close_mom5,-0.0683260456222711
JPX_Gold_Mini_Futures_Close_mom5,-0.06832402948933357
JPX_Platinum_Standard_Futures_Close_vol10,0.06780620407478792
JPX_RSS3_Rubber_Futures_Close_mom5,-0.06779323399800173
LME_PB_Close_z,-0.061393478774904156
JPX_Platinum_Standard_Futures_Close_mom5,-0.058340892233735515
JPX_Platinum_Mini_Futures_Close_z,-0.05783827410925497
JPX_Platinum_Mini_Futures_Close_mom5,-0.05779733760573658
JPX_Platinum_Standard_Futures_Close_z,-0.05742078246059407
LME_CA_Close_vol10,0.05737760832174014
JPX_RSS3_Rubber_Futures_Close_vol10,0.04195715938207822
LME_ZS_Close_z,-0.03271665690822267
JPX_Gold_Mini_Futures_Close_ret,-0.03154812530837483
JPX_Gold_Standard_Futures_Close_ret,-0.0311445125123736
JPX_Gold_Rolling-Spot_Futures_Close_ret,-0.02965997427117796
JPX_RSS3_Rubber_Futures_Close_ret,-0.028491582344692422
LME_CA_Close_z,-0.028373557709964334
LME_ZS_Close_vol10,0.025094518594188223
JPX_Gold_Mini_Futures_Close_vol10,0.024899213651233293
LME_AH_Close_vol10,0.024097632730253803
LME_AH_Close_z,-0.023373503638573948
JPX_Gold_Standard_Futures_Close_vol10,0.02293229932736563
LME_PB_Close_ret,-0.022649163098444593
LME_CA_Close_mom5,-0.02114527678066362
LME_PB_Close_mom5,-0.020597404700063597
JPX_Gold_Rolling-Spot_Futures_Close_vol10,0.019295684747787527
JPX_Gold_Rolling-Spot_Futures_Close_z,-0.01633174174078705
JPX_Gold_Mini_Futures_Close_z,-0.01619537631606455
JPX_Gold_Standard_Futures_Close_z,-0.01617407093862153
LME_CA_Close_ret,0.010713913450402804
LME_ZS_Close_ret,0.01029634941801872
LME_PB_Close_vol10,0.00955475270349505
LME_ZS_Close_mom5,0.009419664143525111
LME_AH_Close_mom5,0.008817015129190973
LME_AH_Close_ret,0.007439172328675653
JPX_Platinum_Mini_Futures_Close_ret,-0.00391989140301155
JPX_Platinum_Standard_Futures_Close_ret,-0.002866371821063353
JPX_RSS3_Rubber_Futures_Close_z,0.0005621765473235281
