date_id,LME_AH_Close_ret,LME_CA_Close_ret,LME_PB_Close_ret,LME_ZS_Close_ret,JPX_Gold_Mini_Futures_Close_ret,JPX_Gold_Rolling-Spot_Futures_Close_ret,JPX_Gold_Standard_Futures_Close_ret,JPX_Platinum_Mini_Futures_Close_ret,JPX_Platinum_Standard_Futures_Close_ret,JPX_RSS3_Rubber_Futures_Close_ret,LME_AH_Close_vol10,LME_CA_Close_vol10,LME_PB_Close_vol10,LME_ZS_Close_vol10,JPX_Gold_Mini_Futures_Close_vol10,JPX_Gold_Rolling-Spot_Futures_Close_vol10,JPX_Gold_Standard_Futures_Close_vol10,JPX_Platinum_Mini_Futures_Close_vol10,JPX_Platinum_Standard_Futures_Close_vol10,JPX_RSS3_Rubber_Futures_Close_vol10,LME_AH_Close_mom5,LME_CA_Close_mom5,LME_PB_Close_mom5,LME_ZS_Close_mom5,JPX_Gold_Mini_Futures_Close_mom5,JPX_Gold_Rolling-Spot_Futures_Close_mom5,JPX_Gold_Standard_Futures_Close_mom5,JPX_Platinum_Mini_Futures_Close_mom5,JPX_Platinum_Standard_Futures_Close_mom5,JPX_RSS3_Rubber_Futures_Close_mom5,LME_AH_Close_z,LME_CA_Close_z,LME_PB_Close_z,LME_ZS_Close_z,JPX_Gold_Mini_Futures_Close_z,JPX_Gold_Rolling-Spot_Futures_Close_z,JPX_Gold_Standard_Futures_Close_z,JPX_Platinum_Mini_Futures_Close_z,JPX_Platinum_Standard_Futures_Close_z,JPX_RSS3_Rubber_Futures_Close_z
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030080242992444807,-0.47551062431811775,2.640499554959129,1.2309282656021623,,,,,,
1,-0.01624966194909388,-0.008082541213643645,0.003495827992079283,-0.006590796775727855,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06137477101647784,-0.513566278153145,2.6895669914896514,1.1819137138951954,,,,,,
2,0.0098258941512912,0.005789838642668243,0.0030971763046844067,0.010465037950084289,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006251200928908028,-0.4863368017022203,2.7331824906278936,1.2598914097926428,-0.9674472404696772,-0.9641412943196151,-0.9664974305651188,-0.5038455206674426,-0.5035241725701475,-0.42879706333934575
3,-0.02133713738813121,-0.009434361880522463,-0.01833482217344684,-0.002382371585406808,0.010731297092518549,0.010286644710275525,0.010515343999522907,0.017361547195901026,0.017069704205357493,-0.010201691586144625,,,,,,,,,,,,,,,,,,,,,-0.12526799998161559,-0.53062570918264,2.476941433190721,1.242067936444655,-0.9507938815527505,-0.9484731880801067,-0.9501724627045006,-0.4207391679204773,-0.42203047541899036,-0.46338307189300576
4,-0.012564414287550077,0.000561561154726482,0.024884643315877593,0.00949562030992638,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,-0.19417246259107787,-0.5280011813319484,2.8258654262966583,1.3133618298366068,-0.9507938815527505,-0.9484731880801067,-0.9501724627045006,-0.4207391679204773,-0.42203047541899036,-0.46338307189300576
5,-0.010398707220898622,-0.0032332916338180554,-0.022918074343836692,-0.015176604343356506,-0.003564318691236105,-0.003976148379639406,-0.0035628246846412985,0.000286820595684869,0.0,0.0053567208683910445,,,,,,,,,,,-112.0,-103.0,-25.0,-14.0,,,,,,,-0.2505488410897288,-0.5430922164734248,2.5042011201521226,1.1997371872431835,-0.956345001191726,-0.9545485762137936,-0.9557229517771109,-0.41935406204136116,-0.42203047541899036,-0.44526659122204104
6,0.013611930091130327,0.007155414605350536,0.001962709167848689,0.0002998051289132366,-0.009920925698442336,-0.009904200652766138,-0.010340917304783964,-0.010667536650245682,-0.010380716054560741,0.007258681761683142,,,,,,,,,,,-46.0,6.0,-29.0,9.0,,,,,,,-0.176633144835942,-0.5096294863771077,2.5314608071135236,1.201965121411682,-0.9716922143112469,-0.969577167912914,-0.9717214202805167,-0.47060297956865643,-0.4717554431722388,-0.4205622993979981
7,-0.0029833642322813782,-0.0017490472153960015,-0.0003922337763563644,0.014876799214443156,0.0019073864000405936,0.0027492879747203634,0.0023307564317666123,0.007220247973487097,0.00808318488882297,-0.002413711043929597,,,,,,,,,,,-74.5,-48.0,-38.0,24.0,-4.0,-4.0,-5.0,49.0,51.0,0.0,-0.19291965417999674,-0.5178311359105188,2.5260088697212435,1.3133618298366068,-0.9687533862670833,-0.9654203234003913,-0.9681299273511806,-0.4359753325907542,-0.4330804682530455,-0.42879706333934575
8,0.01754231110784747,-0.004280558095701258,-0.005507488350831952,-0.000738607020800477,0.0035929447930051674,0.003583855422302231,0.0033805229742753093,0.015136659127789444,0.01484045501311409,0.01725006837093882,,,,,,,,,,,11.5,-11.0,-5.0,29.5,-38.0,-36.0,-39.0,42.0,44.0,5.699999999999989,-0.09645340652674955,-0.5378431607720418,2.4496817462293197,1.3077919944153604,-0.9632022666281077,-0.9599844498070925,-0.9629059376357828,-0.36256472099760156,-0.3612555148316867,-0.36950676296164275
9,0.005854553988785377,0.013966707481708102,0.020305266160745523,0.011606682857905188,0.006518790826984937,0.00587496444302075,0.0063078426139887836,0.0059347355198145265,0.005086193502127681,0.02022170951227367,,,,,,,,,,,52.0,85.0,-17.0,37.0,-7.0,-8.0,-9.0,63.0,62.0,10.0,-0.06388038783864011,-0.47222996450475335,2.7331824906278936,1.395795394071051,-0.9530796366982109,-0.9510312462416591,-0.953110956919412,-0.33347749753616374,-0.3363930309550625,-0.2986877930660528
10,-0.017210569734504647,-0.018477569373586106,-0.012838145593544553,-0.005419273607164016,-0.0008387503112813571,-0.001046572570671027,-0.0012583894278044966,-0.003104277926765915,-0.003387919671936003,-0.00888479073527584,0.014139326182843961,0.009286021036915212,0.015311661361480917,0.009650276116279704,,,,,,,36.5,-24.0,9.0,69.5,6.0,6.0,2.0,51.0,50.0,7.0,-0.15909382708080616,-0.558839383577574,2.553268556682645,1.3545786119538288,-0.954385782495617,-0.9526300325926293,-0.9550699530626862,-0.3487136622064407,-0.3529680202061453,-0.32997989604317396
11,0.0013695505450431287,-0.006235847871480914,-0.0027445616130276186,-0.010927456638502283,-0.005047329327244018,-0.00545990436570877,-0.005049453186184121,0.0005651314080896349,0.0011305823702860774,-0.016098832537241363,0.013439394632873209,0.009164286002520698,0.01525212516604739,0.01014613351823346,,,,,,,10.0,-119.0,-3.0,31.5,29.0,27.0,27.0,90.0,90.0,2.0999999999999943,-0.15157697661431938,-0.5877091899351808,2.515104994936683,1.2721450477193845,-0.9622226572800532,-0.9609437216176746,-0.9629059376357828,-0.3459434504482085,-0.3474430237891177,-0.38597629084433804
12,0.02210782573302084,0.005953242245748182,0.02443402533728204,0.002520947431328742,-0.0010547411588509414,-0.0004212299978037478,-0.0004219409345300259,0.005633817718256064,0.004228336109521105,0.011862535309819948,0.015065389137971237,0.009179047824995647,0.017284640763061302,0.009639315572517489,0.005888624938176631,0.0058255627021308876,0.005904303398041264,0.008341765581149015,0.008210750978369246,0.012098217846216001,65.5,-64.5,61.0,-10.0,15.0,12.0,14.0,85.0,77.0,5.099999999999994,-0.02880175232836841,-0.5601516475029198,2.85857705065034,1.2910824881516219,-0.9638553395268107,-0.9615832361580627,-0.9635589363502076,-0.31824133286588674,-0.3267242872252642,-0.3448024711375998
