count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,rango
1827.0,0.0004702402243344678,0.011924738186836719,-0.1237630947850029,-0.03232687028528215,-0.01709598743045221,-0.004567204621397,0.0009284265193894,0.0062703385333941,0.015984876024889405,0.02670579056003987,0.0874695466656952,0.2112326414506981
1784.0,-0.0005753747065574422,0.0169300400964593,-0.1204419794715235,-0.04247720274419388,-0.02497121157662584,-0.010452289021022399,-0.0009539169729265,0.00890089098738225,0.025401888602824257,0.043626339268904066,0.1139675684627565,0.23440954793428
1875.0,0.00021538259987572515,0.013070783696394526,-0.0672876436621349,-0.03023880296546857,-0.021077975351183418,-0.007658342104988201,0.0003181234849007,0.0088542111483076,0.021098778820991763,0.03183419889383964,0.0477693081818975,0.11505695184403239
1875.0,0.00019751293459995255,0.01490076743007605,-0.0724713588883641,-0.036335675082914465,-0.02425572520044753,-0.00883939703608275,0.000215627083597,0.0091789118644772,0.02478271419098644,0.038184050377017616,0.0782809259275599,0.150752284815924
1875.0,-0.00023298886606988708,0.015534916327999495,-0.0608024641473046,-0.039485805694796566,-0.02547597509745566,-0.00927972060494155,8.8390087454e-05,0.0092972133152344,0.024004650249801075,0.037553516520017434,0.0969017430180326,0.1577042071653372
1784.0,-0.0005207288241395558,0.01793799424067005,-0.1054306600829589,-0.04919021695720854,-0.027393582042790538,-0.01152410719939225,-0.00057174394556585,0.009739775101327725,0.028097459550258937,0.045232811922682,0.0841025718345799,0.1895332319175388
1875.0,0.00015396563331845141,0.014277390634274726,-0.0606214077637996,-0.03663367415380301,-0.02257836259299835,-0.0085853593584789,0.0002478848577685,0.00917619885442115,0.02140012593533269,0.034091744934337406,0.0766728227274288,0.1372942304912284
1875.0,3.072794923826862e-05,0.014898152845486396,-0.0724107087638004,-0.0330614429448123,-0.02376478628571464,-0.00922064121868775,-5.31928775573e-05,0.0088094932920064,0.02443785237343999,0.03900416906343965,0.1066554716476437,0.17906618041144412
1875.0,8.360966793252017e-05,0.0158458642474574,-0.0817143427970399,-0.038557836519241995,-0.02450913798380049,-0.009873721298708199,7.16368873995e-05,0.0096176488162335,0.02530144794875989,0.04221492837176879,0.0727031334709898,0.1544174762680297
1875.0,0.0001397133015131635,0.013806702288295981,-0.0626771415932214,-0.0372832856209185,-0.021921412178259547,-0.00760442207836725,0.0003593561910219,0.0082544756185941,0.020781038410709173,0.034988980457534076,0.0798327911701958,0.1425099327634172
1784.0,0.0005226818600069193,0.018014334462197672,-0.0955147711962167,-0.04680433098618422,-0.0275189774070027,-0.009525348743245975,0.0006046874577784001,0.011402036851961126,0.027784512573366307,0.04886234357461673,0.1022871897072189,0.1978019609034356
1875.0,0.00022034118107903662,0.014602118703752056,-0.0710611628520869,-0.032804210900308925,-0.02254470609061755,-0.00847795194650445,-0.0001612900019822,0.008688766545475402,0.0235593386368953,0.0410884900921336,0.0609444758116468,0.13200563866373372
1875.0,8.551581572767354e-05,0.015585286187806533,-0.0659499122906117,-0.03805515024539708,-0.02502085221679572,-0.0095816009417585,0.0002717724387964,0.009741760479063,0.02472421998920456,0.038238450806932285,0.073294233262766,0.13924414555337772
1784.0,-0.00023246593328862155,0.019714924438285514,-0.0980494026098257,-0.05217344559596839,-0.03136043005571439,-0.011242956420587475,-0.0002453295432138,0.0109887879774255,0.03016710380187743,0.04922360253438858,0.1460967799709905,0.2441461825808162
1875.0,5.648285339857987e-06,0.012738668730875138,-0.0622705789574201,-0.03055962726847802,-0.0198188466451425,-0.0075686992932917,0.0003436139703261,0.00739552612933615,0.02120480391571384,0.03221628289081273,0.0539894454845548,0.1162600244419749
