,pct_missing
US_Stock_GOLD_adj_open,0.8735339112697603
US_Stock_GOLD_adj_close,0.8735339112697603
US_Stock_GOLD_adj_high,0.8735339112697603
US_Stock_GOLD_adj_volume,0.8735339112697603
US_Stock_GOLD_adj_low,0.8735339112697603
JPX_Platinum_Standard_Futures_Open,0.059153493115757266
JPX_Gold_Rolling-Spot_Futures_Volume,0.059153493115757266
JPX_Gold_Mini_Futures_Open,0.059153493115757266
JPX_Gold_Rolling-Spot_Futures_Open,0.059153493115757266
JPX_Gold_Standard_Futures_Open,0.059153493115757266
JPX_Platinum_Mini_Futures_Open,0.059153493115757266
JPX_RSS3_Rubber_Futures_Volume,0.059153493115757266
JPX_RSS3_Rubber_Futures_Open,0.059153493115757266
JPX_Gold_Mini_Futures_High,0.059153493115757266
JPX_Gold_Rolling-Spot_Futures_High,0.059153493115757266
JPX_Gold_Standard_Futures_High,0.059153493115757266
JPX_Platinum_Mini_Futures_High,0.059153493115757266
JPX_Platinum_Standard_Futures_High,0.059153493115757266
JPX_Gold_Standard_Futures_Volume,0.059153493115757266
JPX_Platinum_Mini_Futures_settlement_price,0.059153493115757266
JPX_RSS3_Rubber_Futures_settlement_price,0.059153493115757266
JPX_Gold_Mini_Futures_open_interest,0.059153493115757266
JPX_Gold_Rolling-Spot_Futures_open_interest,0.059153493115757266
JPX_Gold_Standard_Futures_open_interest,0.059153493115757266
JPX_Platinum_Mini_Futures_open_interest,0.059153493115757266
JPX_Platinum_Standard_Futures_open_interest,0.059153493115757266
JPX_RSS3_Rubber_Futures_open_interest,0.059153493115757266
JPX_Platinum_Mini_Futures_Volume,0.059153493115757266
JPX_Platinum_Standard_Futures_Volume,0.059153493115757266
JPX_Gold_Standard_Futures_Close,0.059153493115757266
JPX_RSS3_Rubber_Futures_High,0.059153493115757266
JPX_Gold_Mini_Futures_Low,0.059153493115757266
JPX_Gold_Rolling-Spot_Futures_Low,0.059153493115757266
JPX_Gold_Standard_Futures_Low,0.059153493115757266
JPX_Platinum_Mini_Futures_Low,0.059153493115757266
JPX_Gold_Mini_Futures_settlement_price,0.059153493115757266
JPX_Gold_Rolling-Spot_Futures_settlement_price,0.059153493115757266
JPX_Platinum_Standard_Futures_Low,0.059153493115757266
JPX_RSS3_Rubber_Futures_Low,0.059153493115757266
JPX_Gold_Mini_Futures_Close,0.059153493115757266
JPX_Gold_Rolling-Spot_Futures_Close,0.059153493115757266
JPX_Platinum_Mini_Futures_Close,0.059153493115757266
JPX_Platinum_Standard_Futures_Close,0.059153493115757266
JPX_RSS3_Rubber_Futures_Close,0.059153493115757266
JPX_Gold_Mini_Futures_Volume,0.059153493115757266
US_Stock_X_adj_low,0.046914839367669554
US_Stock_X_adj_open,0.046914839367669554
US_Stock_X_adj_close,0.046914839367669554
US_Stock_X_adj_high,0.046914839367669554
US_Stock_X_adj_volume,0.046914839367669554
US_Stock_HES_adj_high,0.03671596124426313
US_Stock_HES_adj_open,0.03671596124426313
US_Stock_HES_adj_low,0.03671596124426313
US_Stock_HES_adj_close,0.03671596124426313
US_Stock_HES_adj_volume,0.03671596124426313
US_Stock_SHEL_adj_open,0.03467618561958185
US_Stock_SHEL_adj_volume,0.03467618561958185
US_Stock_SHEL_adj_low,0.03467618561958185
US_Stock_SHEL_adj_high,0.03467618561958185
US_Stock_SHEL_adj_close,0.03467618561958185
US_Stock_EOG_adj_open,0.034166241713411524
US_Stock_EWJ_adj_open,0.034166241713411524
US_Stock_EWT_adj_open,0.034166241713411524
US_Stock_EWY_adj_open,0.034166241713411524
US_Stock_EWZ_adj_open,0.034166241713411524
US_Stock_FCX_adj_open,0.034166241713411524
US_Stock_FNV_adj_open,0.034166241713411524
US_Stock_FXI_adj_open,0.034166241713411524
US_Stock_GDX_adj_open,0.034166241713411524
US_Stock_GDXJ_adj_open,0.034166241713411524
US_Stock_GLD_adj_open,0.034166241713411524
US_Stock_AGG_adj_open,0.034166241713411524
US_Stock_ALB_adj_open,0.034166241713411524
US_Stock_AMP_adj_open,0.034166241713411524
US_Stock_BCS_adj_open,0.034166241713411524
US_Stock_BKR_adj_open,0.034166241713411524
US_Stock_IEF_adj_open,0.034166241713411524
US_Stock_IEMG_adj_open,0.034166241713411524
US_Stock_IGSB_adj_open,0.034166241713411524
US_Stock_JNK_adj_open,0.034166241713411524
US_Stock_KGC_adj_open,0.034166241713411524
US_Stock_KMI_adj_open,0.034166241713411524
US_Stock_LQD_adj_open,0.034166241713411524
US_Stock_LYB_adj_open,0.034166241713411524
