target,lag,pair,pct_missing,pct_valid,tipo
target_0,1,US_Stock_VT_adj_close,0.06833248342682305,0.9316675165731769,individual
target_1,1,LME_PB_Close - US_Stock_VT_adj_close,0.09026007139214687,0.9097399286078531,individual
target_2,1,LME_CA_Close - LME_ZS_Close,0.04385517593064763,0.9561448240693524,individual
target_3,1,LME_AH_Close - LME_ZS_Close,0.04385517593064763,0.9561448240693524,individual
target_4,1,LME_AH_Close - JPX_Gold_Standard_Futures_Close,0.14686384497705252,0.8531361550229475,individual
target_5,1,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close,0.14686384497705252,0.8531361550229475,individual
target_6,1,LME_PB_Close - LME_AH_Close,0.04385517593064763,0.9561448240693524,individual
target_7,1,LME_ZS_Close - US_Stock_VYM_adj_close,0.09026007139214687,0.9097399286078531,individual
target_8,1,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_9,1,FX_AUDJPY - LME_PB_Close,0.04385517593064763,0.9561448240693524,individual
target_10,1,JPX_Platinum_Standard_Futures_Close - US_Stock_VGIT_adj_close,0.17134115247322795,0.828658847526772,individual
target_11,1,FX_EURAUD - LME_CA_Close,0.04385517593064763,0.9561448240693524,individual
target_12,1,JPX_Platinum_Standard_Futures_Close - FX_CADCHF,0.1055583885772565,0.8944416114227435,individual
target_13,1,LME_PB_Close - FX_ZARCHF,0.04385517593064763,0.9561448240693524,individual
target_14,1,JPX_Platinum_Standard_Futures_Close - FX_NZDJPY,0.1055583885772565,0.8944416114227435,individual
target_15,1,FX_CHFJPY - LME_AH_Close,0.04385517593064763,0.9561448240693524,individual
target_16,1,US_Stock_VTV_adj_close - LME_ZS_Close,0.09026007139214687,0.9097399286078531,individual
target_17,1,US_Stock_OIH_adj_close - JPX_Gold_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_18,1,LME_AH_Close - FX_ZARUSD,0.04385517593064763,0.9561448240693524,individual
target_19,1,JPX_Gold_Standard_Futures_Close - FX_USDJPY,0.1055583885772565,0.8944416114227435,individual
target_20,1,LME_ZS_Close - FX_AUDCHF,0.04385517593064763,0.9561448240693524,individual
target_21,1,LME_AH_Close - US_Stock_SLV_adj_close,0.09026007139214687,0.9097399286078531,individual
target_22,1,US_Stock_BKR_adj_close - JPX_Platinum_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_23,1,FX_GBPJPY - LME_CA_Close,0.04385517593064763,0.9561448240693524,individual
target_24,1,US_Stock_URA_adj_close - JPX_Platinum_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_25,1,LME_AH_Close - US_Stock_VEA_adj_close,0.09026007139214687,0.9097399286078531,individual
target_26,1,FX_ZARJPY - LME_CA_Close,0.04385517593064763,0.9561448240693524,individual
target_27,1,US_Stock_OKE_adj_close - LME_ZS_Close,0.09026007139214687,0.9097399286078531,individual
target_28,1,US_Stock_CVX_adj_close - LME_ZS_Close,0.09026007139214687,0.9097399286078531,individual
target_29,1,FX_CADUSD - LME_AH_Close,0.04385517593064763,0.9561448240693524,individual
target_30,1,LME_ZS_Close - US_Stock_CCJ_adj_close,0.09026007139214687,0.9097399286078531,individual
target_31,1,LME_ZS_Close - US_Stock_GLD_adj_close,0.09026007139214687,0.9097399286078531,individual
target_32,1,LME_ZS_Close - US_Stock_FCX_adj_close,0.09026007139214687,0.9097399286078531,individual
target_33,1,JPX_Gold_Standard_Futures_Close - US_Stock_EWY_adj_close,0.17134115247322795,0.828658847526772,individual
target_34,1,FX_AUDCAD - JPX_Platinum_Standard_Futures_Close,0.1055583885772565,0.8944416114227435,individual
target_35,1,US_Stock_VWO_adj_close - JPX_Gold_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_36,1,LME_PB_Close - FX_NOKUSD,0.04385517593064763,0.9561448240693524,individual
target_37,1,LME_CA_Close - US_Stock_VGK_adj_close,0.09026007139214687,0.9097399286078531,individual
target_38,1,US_Stock_RIO_adj_close - JPX_Platinum_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_39,1,FX_EURCAD - LME_AH_Close,0.04385517593064763,0.9561448240693524,individual
target_40,1,LME_CA_Close - US_Stock_HL_adj_close,0.09026007139214687,0.9097399286078531,individual
target_41,1,LME_ZS_Close - US_Stock_TECK_adj_close,0.09026007139214687,0.9097399286078531,individual
target_42,1,US_Stock_ALB_adj_close - LME_AH_Close,0.09026007139214687,0.9097399286078531,individual
target_43,1,FX_ZARGBP - LME_AH_Close,0.04385517593064763,0.9561448240693524,individual
target_44,1,JPX_Gold_Standard_Futures_Close - FX_NOKGBP,0.1055583885772565,0.8944416114227435,individual
target_45,1,LME_CA_Close - FX_NOKEUR,0.04385517593064763,0.9561448240693524,individual
target_46,1,US_Stock_EEM_adj_close - LME_PB_Close,0.09026007139214687,0.9097399286078531,individual
target_47,1,US_Stock_DE_adj_close - LME_CA_Close,0.09026007139214687,0.9097399286078531,individual
target_48,1,LME_CA_Close - US_Stock_EWZ_adj_close,0.09026007139214687,0.9097399286078531,individual
target_49,1,LME_PB_Close - US_Stock_STLD_adj_close,0.09026007139214687,0.9097399286078531,individual
target_50,1,US_Stock_SLB_adj_close - JPX_Gold_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_51,1,JPX_Gold_Standard_Futures_Close - US_Stock_AMP_adj_close,0.17134115247322795,0.828658847526772,individual
target_52,1,US_Stock_CAT_adj_close - JPX_Gold_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_53,1,US_Stock_EOG_adj_close - LME_AH_Close,0.09026007139214687,0.9097399286078531,individual
target_54,1,US_Stock_TIP_adj_close - JPX_Platinum_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_55,1,LME_ZS_Close - US_Stock_MS_adj_close,0.09026007139214687,0.9097399286078531,individual
target_56,1,FX_NZDUSD - LME_ZS_Close,0.04385517593064763,0.9561448240693524,individual
target_57,1,JPX_Platinum_Standard_Futures_Close - US_Stock_JNK_adj_close,0.17134115247322795,0.828658847526772,individual
target_58,1,US_Stock_ENB_adj_close - JPX_Gold_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_59,1,JPX_Gold_Standard_Futures_Close - US_Stock_VXUS_adj_close,0.17134115247322795,0.828658847526772,individual
target_60,1,LME_AH_Close - FX_NOKCHF,0.04385517593064763,0.9561448240693524,individual
target_61,1,LME_AH_Close - US_Stock_BNDX_adj_close,0.09026007139214687,0.9097399286078531,individual
target_62,1,JPX_Gold_Standard_Futures_Close - US_Stock_HES_adj_close,0.17389087200407954,0.8261091279959205,individual
target_63,1,US_Stock_COP_adj_close - JPX_Gold_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
target_64,1,FX_CADJPY - LME_AH_Close,0.04385517593064763,0.9561448240693524,individual
target_65,1,US_Stock_OXY_adj_close - LME_ZS_Close,0.09026007139214687,0.9097399286078531,individual
target_66,1,US_Stock_RSP_adj_close - JPX_Platinum_Standard_Futures_Close,0.17134115247322795,0.828658847526772,individual
